,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-12-04,AFC Wimbledon - Cheltenham,Betsensation,Asianodds,Betsensation,1.399333333333333,2.4459999999999997,1.884,1.4600000000000004,1.9699999999999995,2.5300000000000002,0
1,1,1,2021-12-04,Bristol Rovers - Sutton,1xBet,Betsensation,Unibet,1.3593333333333333,2.3813333333333326,1.9966666666666664,1.4499999999999995,2.1299999999999994,2.5200000000000005,0
2,2,2,2021-12-04,Burton - Port Vale,bet365,Betsensation,Betsensation,1.0986666666666667,2.441333333333333,2.487333333333333,1.16,2.579999999999999,2.6000000000000005,0
3,3,3,2021-12-04,Cambridge Utd - Exeter,Marathonbet,Pinnacle,Coolbet,1.6642857142857144,2.437142857142857,1.5850000000000004,1.75,1.7800000000000005,2.5500000000000003,2
4,4,4,2021-12-04,Carlisle - Shrewsbury,Coolbet,Betsensation,Asianodds,2.002,2.1233333333333335,1.5026666666666666,2.1999999999999997,1.59,2.25,0
5,5,5,2021-12-04,Doncaster - Mansfield,1xBet,Betsensation,bet365,2.0293333333333337,2.31,1.378,2.1999999999999997,1.4499999999999995,2.3999999999999995,0
6,6,6,2021-12-04,Ipswich - Barrow,bet365,bet365,Asianodds,0.498,3.336666666666667,5.416,0.5300000000000001,6.0,3.5,0
7,7,7,2021-12-04,Leyton Orient - Tranmere,bet365,Betsensation,1xBet,0.982,2.42,2.900666666666667,1.0500000000000003,3.2000000000000006,2.75,0
8,8,8,2021-12-04,Lincoln - Hartlepool,Coolbet,Betsensation,1xBet,0.7173333333333335,2.726666666666666,3.8786666666666667,0.75,4.200000000000001,3.0,0
9,9,9,2021-12-04,Portsmouth - Harrogate,Marathonbet,William Hill,Betsensation,0.6493333333333334,2.892,4.255333333333334,0.6899999999999997,4.799999999999999,3.0499999999999994,0
10,10,10,2021-12-04,Yeovil - Stevenage,Asianodds,Betsensation,Coolbet,1.662666666666667,2.4339999999999993,1.5633333333333332,1.75,1.6700000000000004,2.55,0
