,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
0,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,10x10bet,1.59,2.36,1.77,
1,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,1xBet,1.5,2.5,1.68,
2,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Asianodds,1.62,2.41,1.85,
3,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,bet-at-home,1.36,2.4,1.7,
4,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,bet365,1.37,2.4,1.62,
5,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Betsensation,1.52,2.2,1.73,
6,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,bwin,1.45,2.3,1.65,
7,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Coolbet,1.5,2.5,1.8,
8,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Curebet,1.58,2.28,1.8,
9,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,GGBET,1.44,2.26,1.68,
10,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Lasbet,1.52,2.2,1.73,
11,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Marathonbet,1.5,2.5,1.68,
12,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Pinnacle,1.62,2.22,1.85,
13,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,Unibet,1.32,2.4,1.75,
14,"Today, 04 Dec  2021, 15:00",Aldershot - Altrincham,Aldershot,Altrincham,William Hill,1.45,2.3,1.55,
15,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,10x10bet,0.85,2.9,3.0,
16,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,1xBet,0.86,2.74,2.94,
17,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Asianodds,0.88,2.69,3.1,
18,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,bet-at-home,0.88,2.6,2.6,
19,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,bet365,0.8,2.6,2.8,
20,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Betsensation,0.81,2.76,2.88,
21,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,bwin,0.83,2.75,2.6,
22,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Coolbet,0.95,2.75,2.85,
23,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Curebet,0.85,2.87,2.99,
24,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,GGBET,0.78,2.74,2.86,
25,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Lasbet,0.81,2.76,2.88,
26,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Marathonbet,0.85,2.75,2.98,
27,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Pinnacle,0.86,2.87,2.97,
28,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,Unibet,0.85,2.7,2.65,
29,"Today, 04 Dec  2021, 15:00",Barnet - Maidenhead,Barnet,Maidenhead,William Hill,0.95,2.3,2.5,
30,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,10x10bet,0.48,3.5,5.7,
31,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,1xBet,0.48,3.5,5.35,
32,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Asianodds,0.51,3.42,5.42,
33,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,bet-at-home,0.47,3.3,4.6,
34,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,bet365,0.45,3.5,4.5,
35,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Betsensation,0.46,3.3,5.4,
36,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,bwin,0.44,3.6,4.75,
37,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Coolbet,0.48,3.75,5.75,
38,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Curebet,0.48,3.5,5.7,
39,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,GGBET,0.47,3.27,4.76,
40,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Lasbet,0.46,3.3,5.4,
41,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Marathonbet,0.5,3.4,5.05,
42,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Pinnacle,0.51,3.29,5.42,
43,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,Unibet,0.47,3.5,4.2,
44,"Today, 04 Dec  2021, 15:00",Bromley - Wealdstone,Bromley,Wealdstone,William Hill,0.44,3.0,5.5,
45,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,10x10bet,1.9,2.45,1.45,
46,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,1xBet,1.78,2.42,1.46,
47,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Asianodds,1.93,2.4,1.46,
48,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,bet-at-home,1.65,2.25,1.44,
49,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,bet365,1.7,2.3,1.37,
50,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Betsensation,1.82,2.33,1.38,
51,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,bwin,1.5,2.4,1.5,
52,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Coolbet,1.85,2.4,1.55,
53,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Curebet,1.89,2.41,1.44,
54,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,GGBET,1.76,2.26,1.39,
55,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Lasbet,1.82,2.33,1.38,
56,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Marathonbet,1.78,2.42,1.46,
57,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Pinnacle,1.92,2.4,1.46,
58,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,Unibet,1.8,2.25,1.38,
59,"Today, 04 Dec  2021, 15:00",Dag & Red - Grimsby,Dag & Red,Grimsby,William Hill,1.55,2.25,1.5,
60,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,10x10bet,8.3,4.1,0.35,
61,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,1xBet,7.5,4.2,0.34,
62,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Asianodds,7.96,4.18,0.34,
63,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,bet-at-home,7.6,4.0,0.29,
64,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,bet365,7.0,4.25,0.28,
65,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Betsensation,7.8,3.8,0.33,
66,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,bwin,6.5,4.0,0.34,
67,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Coolbet,9.0,4.25,0.34,
68,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Curebet,8.2,4.0,0.35,
69,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,GGBET,7.23,3.77,0.32,
70,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Lasbet,7.8,3.8,0.33,
71,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Marathonbet,7.7,4.2,0.33,
72,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Pinnacle,7.96,4.14,0.34,
73,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,Unibet,6.5,3.35,0.37,
74,"Today, 04 Dec  2021, 15:00",Dover - Wrexham,Dover,Wrexham,William Hill,6.5,3.2,0.36,
75,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,10x10bet,1.5,2.23,1.98,
76,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,1xBet,1.42,2.36,1.9,
77,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Asianodds,1.48,2.3,1.96,
78,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,bet-at-home,1.36,2.25,1.8,
79,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,bet365,1.4,2.25,1.7,
80,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Betsensation,1.44,2.14,1.89,
81,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,bwin,1.5,2.4,1.55,
82,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Coolbet,1.5,2.3,1.95,
83,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Curebet,1.49,2.21,1.96,
84,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,GGBET,1.4,2.12,1.85,
85,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Lasbet,1.44,2.14,1.89,
86,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Marathonbet,1.4,2.36,1.9,
87,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Pinnacle,1.51,2.18,2.02,
88,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,Unibet,1.18,2.3,2.05,
89,"Today, 04 Dec  2021, 15:00",Solihull Moors - Woking,Solihull Moors,Woking,William Hill,1.2,2.2,2.0,
90,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,10x10bet,2.5,2.59,1.08,
91,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,1xBet,2.36,2.66,1.06,
92,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Asianodds,2.68,2.66,1.08,
93,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,bet-at-home,2.15,2.55,1.03,
94,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,bet365,2.4,2.5,0.95,
95,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Betsensation,2.39,2.47,1.03,
96,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,bwin,2.4,2.5,0.95,
97,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Coolbet,2.5,2.75,1.05,
98,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Curebet,2.47,2.57,1.07,
99,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,GGBET,2.38,2.48,0.98,
100,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Lasbet,2.39,2.47,1.03,
101,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Marathonbet,2.38,2.66,1.04,
102,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Pinnacle,2.67,2.66,1.0,
103,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,Unibet,2.5,2.5,0.95,
104,"Today, 04 Dec  2021, 15:00",Weymouth - Torquay,Weymouth,Torquay,William Hill,2.4,2.4,0.95,
