,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
0,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,10x10bet,0.31,4.7,8.8,
1,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,1xBet,0.28,4.5,7.8,
2,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Asianodds,0.29,4.52,8.25,
3,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,bet-at-home,0.25,4.6,7.2,
4,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Betsensation,0.27,4.1,7.7,
5,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,bwin,0.26,4.25,7.0,
6,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Coolbet,0.29,4.25,8.5,
7,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Curebet,0.3,4.6,8.6,
8,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Lasbet,0.27,4.1,7.7,
9,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Marathonbet,0.29,4.35,7.6,
10,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Pinnacle,0.29,4.52,8.25,
11,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,Unibet,0.27,4.0,7.0,
12,"Today, 04 Dec  2021, 15:00",AFC Fylde - Blyth,AFC Fylde,Blyth,William Hill,0.28,3.6,7.5,
13,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,10x10bet,5.0,2.75,0.64,
14,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,1xBet,4.25,2.9,0.59,
15,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Asianodds,4.84,2.65,0.62,
16,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,bet-at-home,4.2,2.9,0.54,
17,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Betsensation,4.5,2.5,0.58,
18,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,bwin,5.0,2.9,0.44,
19,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Coolbet,4.75,2.85,0.56,
20,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Curebet,4.9,2.73,0.63,
21,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Lasbet,4.5,2.5,0.58,
22,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Marathonbet,4.3,2.92,0.57,
23,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Pinnacle,4.84,2.65,0.62,
24,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,Unibet,5.0,3.0,0.43,
25,"Today, 04 Dec  2021, 15:00",Bradford PA - Brackley Town,Bradford PA,Brackley Town,William Hill,4.8,2.7,0.5,
26,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,10x10bet,1.36,2.5,1.99,
27,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,1xBet,1.27,2.52,1.85,
28,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Asianodds,1.31,2.45,1.92,
29,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,bet-at-home,1.27,2.4,1.75,
30,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Betsensation,1.25,2.29,1.84,
31,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,bwin,1.25,2.25,1.65,
32,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Coolbet,1.3,2.5,1.85,
33,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Curebet,1.35,2.47,1.98,
34,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Lasbet,1.25,2.29,1.84,
35,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Marathonbet,1.25,2.52,1.83,
36,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Pinnacle,1.31,2.45,1.92,
37,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,Unibet,1.28,2.3,1.75,
38,"Today, 04 Dec  2021, 15:00",Chester - Leamington,Chester,Leamington,William Hill,1.25,2.2,1.8,
39,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,10x10bet,1.55,2.63,1.65,
40,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,1xBet,1.48,2.48,1.56,
41,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Asianodds,1.51,2.56,1.6,
42,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,bet-at-home,1.47,2.3,1.55,
43,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Betsensation,1.43,2.41,1.52,
44,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,bwin,1.45,2.4,1.35,
45,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Coolbet,1.5,2.5,1.6,
46,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Curebet,1.54,2.61,1.63,
47,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Lasbet,1.43,2.41,1.52,
48,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Marathonbet,1.48,2.48,1.56,
49,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Pinnacle,1.51,2.56,1.6,
50,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,Unibet,1.55,2.25,1.45,
51,"Today, 04 Dec  2021, 15:00",Curzon Ashton - Alfreton,Curzon Ashton,Alfreton,William Hill,1.45,2.2,1.55,
52,"Today, 04 Dec  2021, 15:00",Gateshead - AFC Telford,Gateshead,AFC Telford,Unibet,0.48,2.9,4.4,
53,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,10x10bet,1.8,2.53,1.47,
54,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,1xBet,1.67,2.54,1.35,
55,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Asianodds,1.76,2.41,1.44,
56,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,bet-at-home,1.65,2.4,1.34,
57,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Betsensation,1.67,2.34,1.35,
58,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,bwin,1.6,2.3,1.25,
59,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Coolbet,1.7,2.5,1.4,
60,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Curebet,1.79,2.51,1.46,
61,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Lasbet,1.67,2.34,1.35,
62,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Marathonbet,1.67,2.55,1.35,
63,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Pinnacle,1.76,2.41,1.44,
64,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,Unibet,1.6,2.3,1.38,
65,"Today, 04 Dec  2021, 15:00",Gloucester - Spennymoor,Gloucester,Spennymoor,William Hill,1.62,2.25,1.35,
66,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,10x10bet,2.65,2.55,1.05,
67,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,1xBet,2.38,2.48,1.03,
68,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Asianodds,2.57,2.47,1.02,
69,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,bet-at-home,2.15,2.35,1.05,
70,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Betsensation,2.45,2.34,0.96,
71,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,bwin,2.3,2.3,0.93,
72,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Coolbet,2.5,2.4,1.05,
73,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Curebet,2.63,2.52,1.04,
74,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Lasbet,2.45,2.34,0.96,
75,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Marathonbet,2.42,2.46,1.0,
76,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Pinnacle,2.57,2.47,1.02,
77,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,Unibet,2.0,2.35,1.07,
78,"Today, 04 Dec  2021, 15:00",Guiseley - York,Guiseley,York,William Hill,2.4,2.2,1.0,
