,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-12-04,AFC Fylde - Blyth,10x10bet,10x10bet,10x10bet,0.28076923076923077,4.314615384615386,7.838461538461539,0.31,8.799999999999999,4.700000000000001,0
1,1,1,2021-12-04,Bradford PA - Brackley Town,Unibet,10x10bet,10x10bet,4.683076923076923,2.7653846153846158,0.5615384615384615,5.0,0.6399999999999999,3.0,0
2,2,2,2021-12-04,Chester - Leamington,1xBet,10x10bet,10x10bet,1.2846153846153845,2.3953846153846152,1.8438461538461541,1.3599999999999997,1.9899999999999995,2.52,0
3,3,3,2021-12-04,Curzon Ashton - Alfreton,10x10bet,10x10bet,10x10bet,1.4884615384615385,2.4453846153846155,1.5492307692307692,1.5500000000000005,1.6499999999999997,2.6299999999999994,0
4,4,4,2021-12-04,Gateshead - AFC Telford,Unibet,Unibet,Unibet,0.48,2.9,4.4,0.48,4.4,2.9,0
5,5,5,2021-12-04,Gateshead - York,1xBet,1xBet,1xBet,0.89,2.5733333333333337,2.52,0.91,2.58,2.66,0
6,6,6,2021-12-04,Gloucester - Spennymoor,Marathonbet,10x10bet,10x10bet,1.6892307692307693,2.413846153846154,1.3792307692307693,1.8000000000000005,1.47,2.5500000000000003,0
7,7,7,2021-12-04,Guiseley - Southport,1xBet,1xBet,1xBet,1.2333333333333334,2.4499999999999997,1.8466666666666667,1.26,1.88,2.5,0
8,8,8,2021-12-04,Guiseley - York,10x10bet,Unibet,10x10bet,2.420769230769231,2.402307692307692,1.0138461538461538,2.6499999999999995,1.07,2.5500000000000003,2
9,9,9,2021-12-04,Kettering - Boston Utd,10x10bet,William Hill,10x10bet,1.695384615384615,2.3376923076923073,1.4207692307692308,1.8700000000000008,1.6200000000000008,2.4699999999999998,2
10,10,10,2021-12-04,Kidderminster - Farsley,Unibet,Unibet,Unibet,0.3,3.5,7.0,0.3,7.0,3.5,0
11,11,11,2021-12-04,Southport - Hereford,bwin,William Hill,1xBet,1.5769230769230769,2.3607692307692307,1.5015384615384615,1.7800000000000002,1.6999999999999995,2.5,2
