,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
0,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,10x10bet,3.9,2.69,0.8,
1,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,1xBet,4.05,2.8,0.8,
2,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Asianodds,3.93,2.79,0.82,
3,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,bet-at-home,3.6,2.55,0.79,
4,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,bet365,3.75,2.75,0.75,
5,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Betsensation,4.0,2.73,0.81,
6,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,bwin,3.6,2.7,0.77,
7,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Coolbet,3.95,2.68,0.83,
8,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Curebet,3.9,2.69,0.8,
9,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,GGBET,3.94,2.77,0.78,
10,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Lasbet,4.0,2.73,0.81,
11,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Marathonbet,4.15,2.78,0.84,
12,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Pinnacle,3.93,2.67,0.82,
13,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,Unibet,3.9,2.75,0.79,
14,"Today, 04 Dec  2021, 12:30",West Ham - Chelsea,West Ham,Chelsea,William Hill,3.8,2.7,0.72,
15,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,10x10bet,1.32,2.38,2.3,
16,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,1xBet,1.35,2.44,2.32,
17,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Asianodds,1.35,2.45,2.32,
18,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,bet-at-home,1.28,2.3,2.15,
19,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,bet365,1.3,2.4,2.1,
20,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Betsensation,1.34,2.41,2.34,
21,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,bwin,1.25,2.4,2.1,
22,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Coolbet,1.38,2.42,2.25,
23,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Curebet,1.32,2.38,2.3,
24,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,GGBET,1.32,2.4,2.28,
25,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Lasbet,1.34,2.41,2.34,
26,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Marathonbet,1.33,2.42,2.3,
27,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Pinnacle,1.33,2.44,2.32,
28,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,Unibet,1.3,2.45,2.3,
29,"Today, 04 Dec  2021, 15:00",Newcastle - Burnley,Newcastle,Burnley,William Hill,1.3,2.3,2.1,
30,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,10x10bet,1.54,2.17,2.12,
31,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,1xBet,1.58,2.2,2.17,
32,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Asianodds,1.61,2.19,2.2,
33,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,bet-at-home,1.44,2.15,2.0,
34,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,bet365,1.45,2.2,2.0,
35,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Betsensation,1.56,2.2,2.15,
36,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,bwin,1.45,2.2,1.95,
37,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Coolbet,1.62,2.15,2.12,
38,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Curebet,1.54,2.17,2.12,
39,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,GGBET,1.53,2.13,2.19,
40,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Lasbet,1.56,2.2,2.15,
41,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Marathonbet,1.55,2.18,2.14,
42,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Pinnacle,1.55,2.19,2.16,
43,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,Unibet,1.5,2.2,2.2,
44,"Today, 04 Dec  2021, 15:00",Southampton - Brighton,Southampton,Brighton,William Hill,1.45,2.0,2.1,
45,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,10x10bet,7.1,3.9,0.43,
46,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,1xBet,6.7,4.15,0.45,
47,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Asianodds,6.86,3.72,0.48,
48,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,bet-at-home,5.6,3.8,0.43,
49,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,bet365,6.5,3.75,0.4,
50,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Betsensation,6.7,3.9,0.46,
51,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,bwin,5.75,3.6,0.44,
52,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Coolbet,6.5,3.74,0.48,
53,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Curebet,7.1,3.9,0.43,
54,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,GGBET,7.09,4.16,0.4,
55,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Lasbet,7.2,4.0,0.44,
56,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Marathonbet,6.7,4.1,0.43,
57,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Pinnacle,6.44,3.69,0.48,
58,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,Unibet,7.5,3.9,0.43,
59,"Today, 04 Dec  2021, 15:00",Wolves - Liverpool,Wolves,Liverpool,William Hill,6.5,3.75,0.4,
60,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,10x10bet,14.0,6.6,0.2,
61,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,1xBet,14.0,6.5,0.22,
62,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Asianodds,14.7,6.86,0.22,
63,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,bet-at-home,12.0,5.8,0.19,
64,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,bet365,11.0,6.0,0.2,
65,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Betsensation,14.0,6.8,0.21,
66,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,bwin,12.5,6.0,0.2,
67,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Coolbet,13.35,6.65,0.22,
68,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Curebet,14.0,6.6,0.2,
69,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,GGBET,14.42,6.63,0.2,
70,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Lasbet,14.0,6.8,0.21,
71,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Marathonbet,14.25,6.5,0.21,
72,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Pinnacle,14.5,6.55,0.2,
73,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,Unibet,15.0,6.5,0.21,
74,"Today, 04 Dec  2021, 17:30",Watford - Manchester City,Watford,Manchester City,William Hill,12.0,5.5,0.2,
75,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,10x10bet,0.9,2.7,3.3,
76,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,1xBet,0.95,2.74,3.24,
77,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Asianodds,0.92,2.75,3.24,
78,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bet-at-home,0.88,2.6,3.0,
79,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bet365,0.85,2.8,3.0,
80,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Betsensation,0.92,2.75,3.3,
81,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bwin,0.85,2.7,3.0,
82,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Coolbet,0.95,2.72,3.2,
83,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Curebet,0.9,2.7,3.3,
84,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,GGBET,0.95,2.71,3.04,
85,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Lasbet,0.92,2.75,3.3,
86,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Marathonbet,0.93,2.72,3.2,
87,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Pinnacle,0.92,2.74,3.29,
88,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Unibet,0.91,2.8,3.2,
89,"Tomorrow, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,William Hill,0.95,2.4,2.9,
90,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,10x10bet,0.61,3.0,5.3,
91,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,1xBet,0.65,3.34,4.65,
92,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Asianodds,0.61,3.05,5.36,
93,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bet-at-home,0.6,3.1,4.2,
94,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bet365,0.55,3.2,5.0,
95,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Betsensation,0.62,3.1,5.4,
96,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bwin,0.55,3.2,4.75,
97,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Coolbet,0.64,3.0,5.25,
98,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Curebet,0.61,3.0,5.3,
99,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,GGBET,0.59,3.18,5.22,
100,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Lasbet,0.62,3.1,5.4,
101,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Marathonbet,0.63,3.3,4.6,
102,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Pinnacle,0.61,3.05,5.36,
103,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Unibet,0.62,3.0,5.4,
104,"Tomorrow, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,William Hill,0.57,3.0,4.8,
105,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,10x10bet,0.4,4.0,7.4,
106,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,1xBet,0.43,3.94,7.6,
107,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Asianodds,0.41,4.09,7.6,
108,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,bet-at-home,0.4,3.7,6.6,
109,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,bet365,0.36,4.0,7.5,
110,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Betsensation,0.41,4.1,7.6,
111,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,bwin,0.4,3.75,6.75,
112,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Coolbet,0.43,4.0,7.3,
113,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Curebet,0.4,4.0,7.4,
114,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,GGBET,0.41,3.96,7.33,
115,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Lasbet,0.41,4.1,7.6,
116,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Marathonbet,0.42,3.9,7.6,
117,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Pinnacle,0.4,4.09,7.6,
118,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Unibet,0.4,4.2,7.5,
119,"Tomorrow, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,William Hill,0.38,3.5,7.5,
120,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,10x10bet,1.47,2.38,2.04,
121,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,1xBet,1.51,2.62,1.93,
122,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Asianodds,1.5,2.43,2.06,
123,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,bet-at-home,1.39,2.3,1.95,
124,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,bet365,1.37,2.4,2.0,
125,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Betsensation,1.49,2.41,2.07,
126,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,bwin,1.37,2.5,1.87,
127,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Coolbet,1.54,2.39,2.02,
128,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Curebet,1.47,2.38,2.04,
129,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,GGBET,1.51,2.63,1.81,
130,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Lasbet,1.49,2.41,2.07,
131,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Marathonbet,1.56,2.34,1.98,
132,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Pinnacle,1.49,2.4,2.06,
133,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,Unibet,1.48,2.35,2.05,
134,"Tomorrow, 05 Dec  2021, 16:30",Aston Villa - Leicester,Aston Villa,Leicester,William Hill,1.45,2.4,1.8,
135,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,10x10bet,2.28,2.59,1.24,
136,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,1xBet,2.4,2.7,1.21,
137,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Asianodds,2.34,2.63,1.25,
138,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,bet-at-home,2.25,2.4,1.18,
139,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,bet365,2.4,2.5,1.1,
140,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Betsensation,2.32,2.63,1.26,
141,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,bwin,2.2,2.5,1.2,
142,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Coolbet,2.28,2.62,1.28,
143,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Curebet,2.28,2.59,1.24,
144,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,GGBET,2.38,2.55,1.21,
145,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Lasbet,2.32,2.63,1.26,
146,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Marathonbet,2.46,2.75,1.24,
147,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Pinnacle,2.3,2.63,1.25,
148,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,Unibet,2.45,2.65,1.14,
149,"Monday, 06 Dec  2021, 20:00",Everton - Arsenal,Everton,Arsenal,William Hill,2.4,2.4,1.1,
150,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,10x10bet,1.0,2.6,2.95,
151,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,1xBet,1.04,2.76,2.82,
152,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,Asianodds,0.99,2.41,2.88,
153,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,bet-at-home,0.89,2.5,2.95,
154,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,Betsensation,1.02,2.64,3.0,
155,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,bwin,0.87,2.6,3.0,
156,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,Curebet,1.0,2.6,2.95,
157,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,GGBET,0.93,2.72,3.15,
158,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,Lasbet,1.02,2.64,3.0,
159,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,Marathonbet,1.02,2.74,2.8,
160,"Friday, 10 Dec  2021, 20:00",Brentford - Watford,Brentford,Watford,Pinnacle,0.95,2.56,2.86,
