,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
0,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,10x10bet,8.1,4.0,0.36,
1,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,1xBet,7.5,4.1,0.33,
2,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Asianodds,8.45,4.18,0.37,
3,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,bet-at-home,6.8,3.8,0.34,
4,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,,7.5,4.0,0.36,
5,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Betsensation,8.2,4.1,0.36,
6,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,bwin,7.5,3.8,0.34,
7,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Coolbet,8.3,4.05,0.37,
8,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Curebet,8.0,4.0,0.36,
9,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,GGBET,6.54,3.83,0.38,
10,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Lasbet,8.3,4.1,0.37,
11,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Marathonbet,7.7,4.15,0.35,
12,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Pinnacle,8.45,4.18,0.36,
13,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Unibet,7.5,3.6,0.38,
14,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,William Hill,8.0,3.5,0.33,
15,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,10x10bet,2.69,2.75,0.97,
16,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,1xBet,2.6,2.7,0.99,
17,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Asianodds,2.61,2.65,1.02,
18,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,bet-at-home,2.35,2.45,0.96,
19,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,,2.7,2.5,1.0,
20,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Betsensation,2.75,2.82,0.99,
21,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,bwin,2.3,2.25,0.95,
22,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Coolbet,2.6,2.75,1.03,
23,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Curebet,2.69,2.75,0.97,
24,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,GGBET,2.53,2.65,0.97,
25,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Lasbet,2.73,2.8,0.99,
26,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Marathonbet,2.62,2.72,0.98,
27,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Pinnacle,2.7,2.75,0.96,
28,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Unibet,2.6,2.4,1.05,
29,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,William Hill,2.4,2.5,1.05,
30,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,10x10bet,4.5,2.79,0.67,
31,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,1xBet,4.15,2.84,0.69,
32,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Asianodds,4.43,2.72,0.71,
33,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,bet-at-home,3.9,2.75,0.66,
34,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,bet365,4.5,2.75,0.65,
35,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Betsensation,4.6,2.86,0.68,
36,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,bwin,3.33,2.5,0.68,
37,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Coolbet,4.25,2.85,0.7,
38,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Curebet,4.5,2.79,0.67,
39,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,GGBET,4.01,2.8,0.66,
40,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Lasbet,4.6,2.84,0.68,
41,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Marathonbet,4.25,2.84,0.67,
42,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Pinnacle,4.43,2.72,0.68,
43,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Unibet,3.95,2.7,0.72,
44,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,William Hill,4.25,2.7,0.63,
45,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,10x10bet,1.02,2.45,3.1,
46,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,1xBet,1.05,2.64,2.92,
47,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Asianodds,1.02,2.58,3.0,
48,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bet-at-home,0.97,2.45,2.75,
49,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bet365,0.95,2.5,2.8,
50,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Betsensation,1.04,2.5,3.1,
51,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bwin,0.85,2.7,3.0,
52,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Coolbet,1.06,2.52,3.0,
53,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Curebet,1.02,2.45,3.1,
54,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,GGBET,0.96,2.65,3.06,
55,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Lasbet,1.04,2.5,3.1,
56,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Marathonbet,1.03,2.62,2.9,
57,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Pinnacle,1.03,2.51,3.06,
58,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Unibet,0.97,2.6,3.1,
59,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,William Hill,0.95,2.4,2.9,
60,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,10x10bet,0.56,3.2,5.5,
61,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,1xBet,0.59,3.48,5.15,
62,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Asianodds,0.58,3.28,5.49,
63,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bet-at-home,0.56,3.2,4.4,
64,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bet365,0.55,3.2,5.0,
65,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Betsensation,0.57,3.3,5.6,
66,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bwin,0.55,3.2,4.75,
67,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Coolbet,0.59,3.26,5.4,
68,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Curebet,0.56,3.2,5.5,
69,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,GGBET,0.56,3.34,5.32,
70,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Lasbet,0.57,3.3,5.6,
71,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Marathonbet,0.57,3.45,5.1,
72,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Pinnacle,0.57,3.28,5.41,
73,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Unibet,0.56,3.25,5.75,
74,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,William Hill,0.55,3.2,4.8,
75,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,10x10bet,0.4,4.1,7.6,
76,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,1xBet,0.42,3.98,7.8,
77,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Asianodds,0.42,4.2,7.53,
