,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
0,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,10x10bet,1.38,2.37,2.06,
1,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,1xBet,1.42,2.52,1.85,
2,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Asianodds,1.42,2.22,2.12,
3,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,bet-at-home,1.35,2.3,1.95,
4,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,bet365,1.4,2.4,1.9,
5,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Betsensation,1.41,2.41,2.1,
6,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,bwin,1.25,2.3,1.7,
7,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Coolbet,1.4,2.5,1.95,
8,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Curebet,1.38,2.37,2.06,
9,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,GGBET,1.39,2.46,1.79,
10,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Lasbet,1.4,2.4,2.09,
11,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Marathonbet,1.4,2.52,1.86,
12,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Pinnacle,1.38,2.38,2.05,
13,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,Unibet,1.4,2.4,1.85,
14,"Today, 04 Dec  2021, 15:00",AFC Wimbledon - Cheltenham,AFC Wimbledon,Cheltenham,William Hill,1.35,2.3,1.9,
15,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,10x10bet,1.45,2.1,2.18,
16,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,1xBet,1.36,2.44,2.01,
17,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Asianodds,1.43,2.27,2.2,
18,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,bet-at-home,1.34,2.2,2.05,
19,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,bet365,1.25,2.5,2.1,
20,"Today, 04 Dec  2021, 15:00",Bristol Rovers - Sutton,Bristol Rovers,Sutton,Betsensation,1.48,2.15,2.23,
