,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-12-04,AFC Fylde - Blyth,10x10bet,10x10bet,10x10bet,0.2792307692307692,4.343076923076923,7.8623076923076916,0.31,8.700000000000001,4.700000000000001,0
1,21,21,2021-12-04,Gloucester - Spennymoor,Marathonbet,10x10bet,10x10bet,1.6900000000000002,2.4123076923076923,1.3792307692307693,1.8000000000000005,1.47,2.5500000000000003,0
2,22,22,2021-12-04,Guiseley - York,1xBet,10x10bet,William Hill,2.115384615384615,2.3038461538461537,1.1807692307692308,2.3999999999999995,1.32,2.3799999999999994,0
3,23,23,2021-12-04,Ipswich - Barrow,bet365,Coolbet,1xBet,0.5873333333333332,2.9566666666666666,4.818666666666667,0.61,5.25,3.100000000000001,0
4,24,24,2021-12-04,Kettering - Boston Utd,Asianodds,William Hill,10x10bet,1.7278571428571428,2.27,1.4342857142857142,1.8900000000000003,1.6200000000000008,2.4400000000000004,2
5,25,25,2021-12-04,Leyton Orient - Tranmere,bet365,Betsensation,Coolbet,0.8233333333333336,2.578,3.4186666666666667,0.9000000000000002,3.700000000000001,2.7999999999999994,1
6,26,26,2021-12-04,Lincoln - Hartlepool,Coolbet,Asianodds,Asianodds,0.7806666666666666,2.6133333333333337,3.6739999999999995,0.84,4.0,2.850000000000001,0
7,27,27,2021-12-04,Millwall - Birmingham,,Asianodds,Coolbet,1.176,2.0953333333333335,2.8686666666666665,1.2600000000000002,3.07,2.1999999999999997,1
8,20,20,2021-12-04,Dover - Wrexham,Asianodds,William Hill,Coolbet,7.604,3.9933333333333336,0.32800000000000007,9.0,0.36000000000000004,4.409999999999998,2
9,28,28,2021-12-04,Newcastle - Burnley,1xBet,Unibet,Coolbet,1.3153333333333335,2.4853333333333336,2.1893333333333334,1.3799999999999994,2.3,2.5399999999999996,0
10,30,30,2021-12-04,Portsmouth - Harrogate,bet-at-home,Betsensation,Betsensation,0.7246666666666666,2.6686666666666667,4.015333333333333,0.7599999999999999,4.3999999999999995,2.899999999999999,0
11,31,31,2021-12-04,Reading - Hull,GGBET,Asianodds,Unibet,1.5073333333333332,2.2700000000000005,1.9746666666666668,1.6000000000000003,2.11,2.36,0
12,32,32,2021-12-04,Solihull Moors - Woking,Asianodds,Asianodds,Coolbet,1.1500000000000001,2.3786666666666667,2.262666666666667,1.3000000000000003,2.4699999999999998,2.5200000000000005,1
13,33,33,2021-12-04,Southampton - Brighton,1xBet,Asianodds,1xBet,1.5213333333333334,2.1373333333333333,2.1573333333333333,1.6400000000000003,2.3,2.1999999999999997,0
14,34,34,2021-12-04,Southport - Hereford,bwin,William Hill,10x10bet,1.6453846153846154,2.35,1.4576923076923076,1.82,1.6999999999999995,2.5,2
15,35,35,2021-12-04,Sunderland - Oxford Utd,1xBet,bet365,Coolbet,1.0520000000000003,2.5926666666666667,2.536,1.15,2.75,2.740000000000001,1
16,36,36,2021-12-04,Weymouth - Torquay,Coolbet,bet-at-home,Coolbet,2.481333333333333,2.602,0.9846666666666667,2.6000000000000005,1.0299999999999998,2.75,0
17,29,29,2021-12-04,Nottingham - Peterborough,GGBET,Unibet,Betsensation,0.828,2.5759999999999996,3.647333333333333,0.8599999999999999,4.0,2.850000000000001,0
18,37,37,2021-12-04,Wolves - Liverpool,Asianodds,1xBet,Unibet,6.912000000000001,3.860666666666666,0.4273333333333334,7.5,0.46,4.1499999999999995,0
19,19,19,2021-12-04,Doncaster - Mansfield,William Hill,Betsensation,Asianodds,2.2093333333333334,2.292666666666667,1.2860000000000005,2.5,1.4699999999999998,2.5,0
20,17,17,2021-12-04,Curzon Ashton - Alfreton,10x10bet,10x10bet,10x10bet,1.4923076923076926,2.4346153846153844,1.5507692307692307,1.5500000000000005,1.6499999999999997,2.6299999999999994,0
21,1,1,2021-12-04,AFC Wimbledon - Cheltenham,1xBet,Asianodds,1xBet,1.3820000000000001,2.3899999999999997,1.9486666666666665,1.4200000000000004,2.1200000000000006,2.5200000000000005,0
22,2,2,2021-12-04,Accrington - Fleetwood,1xBet,Asianodds,1xBet,1.3786666666666667,2.5526666666666666,1.8946666666666667,1.43,2.07,2.7800000000000007,0
23,3,3,2021-12-04,Aldershot - Altrincham,Coolbet,10x10bet,Pinnacle,1.4753333333333332,2.326,1.7506666666666668,1.6099999999999997,1.8500000000000005,2.5,1
24,4,4,2021-12-04,Barnet - Maidenhead,Asianodds,10x10bet,Coolbet,0.706,2.8553333333333333,3.551333333333333,0.9499999999999997,4.1000000000000005,3.0300000000000007,1
25,5,5,2021-12-04,Barnsley - Huddersfield,GGBET,Coolbet,Betsensation,1.6886666666666668,2.144,1.8466666666666667,1.7699999999999998,1.9499999999999995,2.259999999999999,0
26,6,6,2021-12-04,Blackburn - Preston,1xBet,Coolbet,Asianodds,1.338666666666667,2.211333333333333,2.312666666666667,1.41,2.45,2.3399999999999994,0
27,7,7,2021-12-04,Blackpool - Luton,Marathonbet,Betsensation,Asianodds,1.8773333333333333,2.182,1.636666666666667,1.9800000000000002,1.7100000000000006,2.32,0
28,18,18,2021-12-04,Dag & Red - Grimsby,Asianodds,Coolbet,Pinnacle,1.7846666666666668,2.3566666666666665,1.4313333333333331,1.9200000000000008,1.5500000000000005,2.55,2
29,8,8,2021-12-04,Bradford PA - Brackley Town,1xBet,10x10bet,Asianodds,4.970769230769231,2.8207692307692307,0.5307692307692308,5.590000000000002,0.5999999999999999,3.06,0
30,10,10,2021-12-04,Bristol Rovers - Sutton,bet365,Betsensation,Betsensation,1.402,2.247333333333334,2.055333333333333,1.4800000000000002,2.23,2.5,0
31,11,11,2021-12-04,Bromley - Wealdstone,bwin,Coolbet,Asianodds,0.4886666666666668,3.3606666666666674,4.951333333333333,0.5300000000000001,5.75,3.600000000000001,0
32,12,12,2021-12-04,Burton - Port Vale,bet365,Betsensation,Betsensation,1.1426666666666667,2.302666666666667,2.541333333333333,1.2100000000000004,2.7800000000000007,2.5,0
33,13,13,2021-12-04,Cambridge Utd - Exeter,1xBet,Betsensation,Asianodds,1.5673333333333335,2.36,1.7266666666666668,1.6700000000000004,1.84,2.56,0
34,14,14,2021-12-04,Cardiff - Sheffield Utd,Betsensation,1xBet,Betsensation,2.182666666666667,2.5053333333333336,1.264,2.259999999999999,1.3500000000000003,2.68,0
35,15,15,2021-12-04,Carlisle - Shrewsbury,Coolbet,Betsensation,Asianodds,2.036666666666667,2.07,1.5153333333333334,2.27,1.5799999999999996,2.1999999999999997,0
36,16,16,2021-12-04,Chester - Leamington,Marathonbet,10x10bet,10x10bet,1.2846153846153845,2.3969230769230765,1.8438461538461541,1.3599999999999997,1.9899999999999995,2.52,0
37,9,9,2021-12-04,Bristol City - Derby,1xBet,Pinnacle,Betsensation,1.6553333333333335,2.175333333333333,1.8720000000000003,1.75,2.0300000000000002,2.2800000000000002,0
38,38,38,2021-12-04,Yeovil - Stevenage,Betsensation,Coolbet,Betsensation,1.9346666666666663,2.4919999999999995,1.3406666666666667,2.0500000000000003,1.3999999999999997,2.62,0
